Datum;Volume;Open;Hoog;Laag;Slot
1-2-2007;Null;505,09;507,92;504,47;505,59
31-1-2007;Null;502;502,96;499,31;499,81
30-1-2007;Null;500,01;503,57;499,13;502,83
29-1-2007;Null;499,69;501,77;498,47;500,31
26-1-2007;Null;499,65;501,61;496,62;499,8
25-1-2007;Null;506,79;508,52;502,15;503,03
24-1-2007;Null;504,44;507,01;503,26;506,55
23-1-2007;Null;503,84;504,27;498,97;502,82
22-1-2007;Null;508,4;509;502,33;503,51
19-1-2007;Null;504,5;507,19;502,75;507,12
18-1-2007;Null;506,71;508,64;504,24;505,53
17-1-2007;Null;505,88;506,05;502,47;505,26
16-1-2007;Null;505,94;506,72;504,25;504,81
15-1-2007;Null;504,88;506,11;504,75;505,38
12-1-2007;Null;499,44;503,31;499,18;502,84
11-1-2007;Null;495,5;500,32;493,22;500,16
10-1-2007;Null;493,9;494,2;490,93;492,49
9-1-2007;Null;495,04;497,97;494,36;495,87
8-1-2007;Null;495,37;495,88;491,42;492,81
5-1-2007;Null;498,39;499,21;494,04;494,05
4-1-2007;Null;498,2;500,96;497,93;500,33
3-1-2007;Null;501,48;501,8;499,85;501,35
2-1-2007;Null;497,91;501,39;497,86;501
29-12-2006;Null;496,56;497,72;495,11;495,34
28-12-2006;Null;498;499,17;496,39;497,18
27-12-2006;Null;494,46;497,78;493,47;497,78
22-12-2006;Null;493,67;494,49;490,67;490,77
21-12-2006;Null;494,01;496,62;493,8;494,62
20-12-2006;Null;495,98;496,91;495,15;495,59
19-12-2006;Null;492,44;495,14;490,4;493,43
18-12-2006;Null;494,76;496,06;494,38;494,38
15-12-2006;Null;495,18;497,4;493,66;495,11
14-12-2006;Null;490,73;494,64;490,73;493,94
13-12-2006;Null;483,46;489,6;482,81;488,79
12-12-2006;Null;479,54;482,68;479,23;482,66
11-12-2006;Null;478;481,04;478;479,69
8-12-2006;Null;476;477,9;473,05;476,53
7-12-2006;Null;475,05;479,72;474,81;476,9
6-12-2006;Null;478,36;478,36;474,88;476,44
5-12-2006;Null;475,48;478,4;472,91;477,64
4-12-2006;Null;473,75;475,18;471,25;473,75
1-12-2006;Null;478,4;480,49;470,54;473,32
30-11-2006;Null;482,77;482,95;476,75;477,67
29-11-2006;Null;481,72;482,44;479,54;481,99
28-11-2006;Null;477,5;480,43;475,4;478,49
27-11-2006;Null;484,16;485,99;478,33;478,33
24-11-2006;Null;487,08;487,7;482,1;484,91
23-11-2006;Null;490,73;490,98;486,53;488,27
22-11-2006;Null;493,26;494,41;488,45;490,31
21-11-2006;Null;491,42;494,27;491,12;491,73
20-11-2006;Null;490,95;492,61;487,42;491,7
17-11-2006;Null;495,55;496,43;490,98;492,62
16-11-2006;Null;496,58;497,63;495,51;495,99
15-11-2006;Null;496,39;496,98;495,28;496,98
14-11-2006;Null;494,57;495,35;491,89;493,69
13-11-2006;Null;493,01;495,23;491,98;494,21
10-11-2006;Null;493,23;494,05;490,89;492,96
9-11-2006;Null;496,69;498,44;492,57;493,82
8-11-2006;Null;494,74;498,45;494,37;497,51
7-11-2006;Null;494,05;496,68;494,05;496,68
6-11-2006;Null;489,87;494,21;489,52;494,06
3-11-2006;Null;484,63;490,75;484,63;487,94
2-11-2006;Null;484,79;486,74;482,4;484,04
1-11-2006;Null;485,64;488,76;485,23;486,05
31-10-2006;Null;486,81;490,67;486,04;486,57
30-10-2006;Null;485,31;488,38;484,32;487,95
27-10-2006;Null;493,18;493,95;487,6;489,99
26-10-2006;Null;495,73;495,73;492,15;492,94
25-10-2006;Null;492,39;493,72;491,63;492,71
24-10-2006;Null;491,63;493,43;491,58;492,89
23-10-2006;Null;490,56;492,99;487,71;492,3
20-10-2006;Null;491,67;493,09;487,59;489,3
19-10-2006;Null;488,34;492;487,06;490,36
18-10-2006;Null;487,61;492,57;487,61;490,11
17-10-2006;Null;492,42;492,5;486,78;487,01
16-10-2006;Null;492,75;494,14;491,32;493,39
13-10-2006;Null;494,03;494,05;491,29;492,68
12-10-2006;Null;489,42;493,18;489,42;492,84
11-10-2006;Null;488,59;490,01;486,43;490,01
10-10-2006;Null;488,07;490,21;487,69;489,8
9-10-2006;Null;484,29;487,23;484,08;487,22
6-10-2006;Null;486,22;486,7;483,73;486,21
5-10-2006;Null;487,42;488,31;485,73;486,16
4-10-2006;Null;482,65;486,24;482,32;484,4
3-10-2006;Null;480,89;481,74;478,67;481,65
2-10-2006;Null;484,92;485,83;480,5;482,9
29-9-2006;Null;482,75;485,8;482,53;483,62
28-9-2006;Null;482;484,01;481,48;482,54
27-9-2006;Null;482,32;482,97;478,99;481,9
26-9-2006;Null;476,33;481,28;475,85;480,52
25-9-2006;Null;474,52;476,85;471,78;473,82
22-9-2006;Null;474,69;476,17;471,92;472,99
21-9-2006;Null;476,22;480,59;475,92;478,05
20-9-2006;Null;470,45;477,33;470,04;476,46
19-9-2006;Null;475,11;475,21;468,76;470,32
18-9-2006;Null;475,62;476,36;473,06;474,72
15-9-2006;Null;471,84;476,43;471,84;474,85
14-9-2006;Null;471,87;474,42;470,37;471,48
13-9-2006;Null;470,82;472,03;469,85;471,14
12-9-2006;Null;463,63;469,63;460,74;468,98
11-9-2006;Null;462,09;463;460,17;462,55
8-9-2006;Null;464,67;465,99;462,93;464,47
7-9-2006;Null;464,62;465,23;462,67;463,46
6-9-2006;Null;471,68;471,92;466,17;466,74
5-9-2006;Null;473,48;473,57;468,83;471,74
4-9-2006;Null;471,7;474,4;471,7;473,58
1-9-2006;Null;469,22;473;469,15;470,93
31-8-2006;Null;471,06;471,46;468,66;469,01
30-8-2006;Null;469,42;470,99;468,37;470,14
29-8-2006;Null;468,1;470,79;467,5;467,77
28-8-2006;Null;464,52;468,1;463,57;467,78
25-8-2006;Null;464,72;466,65;464,14;465,14
24-8-2006;Null;461,91;465,94;459,46;463,74
23-8-2006;Null;463,6;464,16;460,59;461,05
22-8-2006;Null;464,75;465,38;459,99;463,82
21-8-2006;Null;463,59;464,22;461,67;462,96
18-8-2006;Null;463,03;465,42;462,76;463,92
17-8-2006;Null;463,13;463,56;461,44;463,24
16-8-2006;Null;461,99;463,84;460,11;462,85
15-8-2006;Null;454,48;462,15;454,48;461,25
14-8-2006;Null;454,38;456,05;453,71;456,05
11-8-2006;Null;450,92;454,17;450,37;451,76
10-8-2006;Null;449,23;452,65;446,38;451,55
9-8-2006;Null;452,34;454,31;447,52;453,29
8-8-2006;Null;453,58;454,18;449,23;450,2
7-8-2006;Null;451,2;452,9;449,26;451,09
4-8-2006;Null;453,5;457,62;452;455,8
3-8-2006;Null;455,52;456,03;448,28;450,65
2-8-2006;Null;451,87;455,3;450,88;455,3
1-8-2006;Null;452,93;456,6;449,18;449,96
31-7-2006;Null;455,75;457,64;453,11;454,06
28-7-2006;Null;450,48;456,22;450,34;456,22
27-7-2006;Null;448,77;452,51;448,09;452,49
26-7-2006;Null;445,54;447,22;444,56;446,38
25-7-2006;Null;447,27;447,59;442,85;444,05
24-7-2006;Null;437,51;446,49;436,81;445,92
21-7-2006;Null;436,83;438,89;435,09;436,3
20-7-2006;Null;438,88;441,25;437,31;438,72
19-7-2006;Null;429,23;437,49;428,35;437,44
18-7-2006;Null;426,31;429,98;423,98;426,8
17-7-2006;Null;429,3;429,48;422,71;427,23
14-7-2006;Null;429,78;432,91;428,09;428,33
13-7-2006;Null;438,72;438,72;432,84;434,41
12-7-2006;Null;441,2;442,91;439,68;440,43
11-7-2006;Null;441,15;441,86;437,52;438,57
10-7-2006;Null;441,19;443,3;438,61;442,58
7-7-2006;Null;441,69;442,79;438,82;440,7
6-7-2006;Null;440,18;443,13;439,52;442,91
5-7-2006;Null;441,85;443,06;438,01;439,15
4-7-2006;Null;444,38;444,38;441,6;444,38
3-7-2006;Null;440,79;443,47;440,61;443,47
30-6-2006;Null;438,23;441,54;435,84;440,25
29-6-2006;Null;427,68;432,93;426,3;432,2
28-6-2006;Null;420,98;426,41;420,19;423,81
27-6-2006;Null;429,46;429,52;421,89;422,8
26-6-2006;Null;430,3;431,39;426,64;427,23
23-6-2006;Null;430,14;431,68;427,23;429,14
22-6-2006;Null;431,13;432,35;426,88;429,26
21-6-2006;Null;426,98;427,31;420,06;426,64
20-6-2006;Null;420,49;425,19;419,18;425,18
19-6-2006;Null;422,01;426,71;422,01;423,56
16-6-2006;Null;429,14;429,64;420,52;420,52
15-6-2006;Null;415,82;423,96;415,82;423,73
14-6-2006;Null;413,84;415,17;409,56;412,98
13-6-2006;Null;414,63;416,81;410,29;412,87
12-6-2006;Null;425,79;428,4;421,72;421,72
9-6-2006;Null;426,06;427,89;423,17;426,47
8-6-2006;Null;422,56;425,47;419,64;419,64
7-6-2006;Null;429,13;433,3;425,07;432,06
6-6-2006;Null;429,79;433,39;427,02;427,88
5-6-2006;Null;439,6;439,6;434,15;436,21
2-6-2006;Null;445,05;445,98;436,76;438,9
1-6-2006;Null;439,68;442,35;435,62;441,58
31-5-2006;Null;431,7;440,66;428,98;440,41
30-5-2006;Null;446,12;446,57;434,5;434,7
29-5-2006;Null;446,11;446,4;444,33;445,79
26-5-2006;Null;444,49;446,28;440,48;446,28
25-5-2006;Null;436,66;440,68;432,49;440,28
24-5-2006;Null;436,59;438,04;430,44;435,84
23-5-2006;Null;431,65;442,31;431,48;439,58
22-5-2006;Null;434,75;436,38;426,18;428,78
19-5-2006;Null;436,18;440,6;436,18;438,98
18-5-2006;Null;437,41;441,41;432,01;437,1
17-5-2006;Null;452,61;453,34;436,47;436,47
16-5-2006;Null;450,65;453,46;448,02;451,08
15-5-2006;Null;451,98;453,49;446,79;450,09
12-5-2006;Null;464,12;464,21;455,09;455,09
11-5-2006;Null;470,34;473,32;466,88;466,88
10-5-2006;Null;470,96;472,54;469,07;469,07
9-5-2006;Null;473,44;473,52;471,09;473,52
8-5-2006;Null;473,15;474,26;472,08;472,67
5-5-2006;Null;467,37;471,72;466,61;471,72
4-5-2006;Null;465,11;467,01;463,34;466,59
3-5-2006;Null;473,24;473,75;463,76;464,64
2-5-2006;Null;467,67;470,23;467,56;470,13
28-4-2006;Null;473,27;473,34;468,44;469,4
27-4-2006;Null;476,28;476,52;470,33;474,44
26-4-2006;Null;475,36;477,93;475,36;477,47
25-4-2006;Null;475,79;478,44;475,13;476,04
24-4-2006;Null;475,92;477,05;475,36;475,64
21-4-2006;Null;474,05;478,22;473,8;478
20-4-2006;Null;470,81;474,68;470,48;472,64
19-4-2006;Null;467,4;469,02;466,38;468,86
18-4-2006;Null;462,2;462,89;460,09;462,73
13-4-2006;Null;463,42;464,44;461,36;462,76
12-4-2006;Null;463,01;464,91;461,19;463,62
11-4-2006;Null;470,23;470,6;463,39;464,14
10-4-2006;Null;468,22;470,67;467,48;470,66
7-4-2006;Null;470,23;472,93;468,19;468,68
6-4-2006;Null;470,47;471,18;468,34;469,6
5-4-2006;Null;470,03;470,52;464,64;468,53
4-4-2006;Null;470,28;470,45;467,95;467,95
3-4-2006;Null;471,45;471,45;468,92;471,33
31-3-2006;Null;470,74;471,53;468,54;468,69
30-3-2006;Null;471,47;472,88;469,42;472,58
29-3-2006;Null;467,43;469,07;466,49;468,99
28-3-2006;Null;469,96;472;466,37;467,75
27-3-2006;Null;472,11;473,13;469,47;469,76
24-3-2006;Null;471,24;473,02;470,57;472,07
23-3-2006;Null;470,47;471,71;469,3;470,75
22-3-2006;Null;465,22;469,29;464,72;469,03
21-3-2006;Null;466,6;467,08;463,18;467,08
20-3-2006;Null;466,28;467,56;465,39;466,53
17-3-2006;Null;464,77;467,55;462,46;464,05
16-3-2006;Null;464,36;465;462,73;464,17
15-3-2006;Null;464,63;465,37;463,54;464,5
14-3-2006;Null;461,02;462,93;460,4;462,58
13-3-2006;Null;460,76;462,33;460,35;461,67
10-3-2006;Null;453,18;458,59;452,4;458,59
9-3-2006;Null;454,76;455,31;452,71;454,42
8-3-2006;Null;454,7;455,29;449,15;451,38
7-3-2006;Null;455,17;455,69;452,68;455,17
6-3-2006;Null;458,3;458,68;456,42;457,86
3-3-2006;Null;457,16;459,02;452,57;455,25
2-3-2006;Null;462,57;463,99;455,04;457,26
1-3-2006;Null;459,89;462,22;459,12;461,7
28-2-2006;Null;466,51;467,01;458,19;458,72
27-2-2006;Null;465,29;467,53;465,29;467,53
24-2-2006;Null;464,69;466,03;463,39;464,57
23-2-2006;Null;466,29;467,15;463,26;464,59
22-2-2006;Null;463,31;466,26;461,63;466,02
21-2-2006;Null;465,49;467,12;463,16;464,32
20-2-2006;Null;463,66;464,91;463,13;464,64
17-2-2006;Null;462,11;464,69;461,51;463,6
16-2-2006;Null;462,16;462,27;459,94;461,66
15-2-2006;Null;460,75;462,13;459,37;460,56
14-2-2006;Null;460,22;461,05;457,94;460,04
13-2-2006;Null;456,65;459,48;455,45;459,48
10-2-2006;Null;457,02;460,39;455,29;456,26
9-2-2006;Null;455,47;458,02;454,99;457,87
8-2-2006;Null;449,27;453,46;448,66;452,62
7-2-2006;Null;455,47;455,59;451,06;453,03
6-2-2006;Null;453,32;455,1;451,62;452,52
3-2-2006;Null;450,82;453,71;449,11;451,27
2-2-2006;Null;456,19;457,46;450,41;Null
1-2-2006;Null;449,86;456,17;449,13;455,7
31-1-2006;Null;452,35;454,46;449,77;Null
30-1-2006;Null;449,43;451,87;447,77;Null
27-1-2006;Null;446,95;449,73;445,63;449,67
26-1-2006;Null;438,07;443,63;437,81;443,63
25-1-2006;Null;433,26;436,46;432,57;436,46
24-1-2006;Null;432,33;433,4;429,7;431,51
23-1-2006;Null;428,16;432,38;427,9;431,88
20-1-2006;Null;437,42;438,4;431,97;432,2
19-1-2006;Null;436,42;437,66;435,93;Null
18-1-2006;Null;432,62;436,35;431,74;434,21
17-1-2006;Null;439,57;439,8;437,92;Null
16-1-2006;Null;441,03;442,97;439,55;441,99
13-1-2006;Null;445,51;445,69;440,23;441,37
12-1-2006;Null;446,95;447,69;445,42;447,4
11-1-2006;Null;445,76;447,47;445,08;446,31
10-1-2006;Null;447,7;447,7;443,72;Null
9-1-2006;Null;447,47;448,61;447,03;447,88
6-1-2006;Null;443,37;446,11;442,98;446,11
5-1-2006;Null;444,99;445,12;442,39;443,13
4-1-2006;Null;445,64;446,72;443,18;445
3-1-2006;Null;441,37;445,79;439,94;441,93
2-1-2006;Null;437,56;440,65;437,56;440,52
30-12-2005;Null;440,3;440,45;436,45;436,78
29-12-2005;Null;440,09;441,26;439,96;440,87
28-12-2005;Null;439,06;440,74;438,72;439,1
27-12-2005;Null;439,72;441,11;439,49;440,32
23-12-2005;Null;438,99;440,29;438,44;439,16
22-12-2005;Null;438,06;439,26;437,9;438,45
21-12-2005;Null;435,94;439,41;435,86;438,99
20-12-2005;Null;434,23;435,61;433,27;435,46
19-12-2005;Null;435,39;436,97;434,72;Null
16-12-2005;Null;432,49;436,73;432,49;436,17
15-12-2005;Null;432,31;432,94;430,99;432,08
14-12-2005;Null;433,66;434,55;430,23;430,95
13-12-2005;Null;432,85;434,13;432,38;433,17
12-12-2005;Null;432,86;434,49;431,87;432,8
9-12-2005;Null;431,4;433,3;430,03;431,13
8-12-2005;Null;429,68;432,23;428,84;432,23
7-12-2005;Null;433,16;436,38;430,95;431,52
6-12-2005;Null;429,41;433,58;428,95;432,67
5-12-2005;Null;429,85;430,78;427,82;428,85
2-12-2005;Null;427,99;430,09;426,41;429,48
1-12-2005;Null;419,72;426,5;419,72;426,17
30-11-2005;Null;419,85;420,63;418,45;418,79
29-11-2005;Null;417,46;421,56;416,17;420,33
28-11-2005;Null;419,68;422,06;417,23;417,63
25-11-2005;Null;418,06;418,86;417,42;418,3
24-11-2005;Null;419,52;420,11;416,33;417,84
23-11-2005;Null;419,85;420,08;417,88;419,79
22-11-2005;Null;418,04;418,7;416,93;418,52
