Datum;Volume;Open;Hoog;Laag;Slot
2-6-2021;Null;715,93;719,05;715,56;718,93
1-6-2021;Null;712,81;722,07;712,81;715,94
31-5-2021;Null;712,54;714,57;709,02;709,36
28-5-2021;Null;709,41;715,32;709,41;713,28
27-5-2021;Null;708,88;711,35;706,14;708,36
26-5-2021;Null;714,32;715,52;710,09;711,17
25-5-2021;Null;713,79;715,74;712,25;712,25
24-5-2021;Null;707,91;710,66;706,07;710,46
21-5-2021;Null;705,77;710,01;702,92;706,96
20-5-2021;Null;697,4;704,29;693,22;704,09
19-5-2021;Null;697,34;697,83;685,97;693,72
18-5-2021;Null;709,4;710,15;704,93;705,01
17-5-2021;Null;704,82;705,83;699,79;703,22
14-5-2021;Null;700,29;703,33;695,65;703,33
13-5-2021;Null;686,86;696,53;677,88;694,22
12-5-2021;Null;696,51;698,99;692,53;694,76
11-5-2021;Null;700,61;702,08;689,51;695,94
10-5-2021;Null;718,48;718,48;710,83;711,91
7-5-2021;Null;717,32;719,29;712,5;718,41
6-5-2021;Null;714,59;715,92;707,58;712,46
5-5-2021;Null;703,78;714,42;702,92;714,14
4-5-2021;Null;714,02;714,25;695,71;696,98
3-5-2021;Null;709,93;713,11;705,99;712,13
30-4-2021;Null;710,58;711,82;705,87;707,56
29-4-2021;Null;715,78;719,26;709,97;710,47
28-4-2021;Null;713,63;714,2;710,49;711,84
27-4-2021;Null;715,41;715,56;709,72;712,22
26-4-2021;Null;714,98;716,69;711,57;715,46
23-4-2021;Null;710,48;715,77;709,44;715,77
22-4-2021;Null;712,58;714,62;710,35;712,94
21-4-2021;Null;707,16;710,62;704,63;709,36
20-4-2021;Null;710,88;713,38;699,06;700,19
19-4-2021;Null;717,05;718,5;710,62;711,94
16-4-2021;Null;714,48;716,8;712,57;716,8
15-4-2021;Null;713,21;714,98;712,37;713,8
14-4-2021;Null;708,83;713,31;708,44;712,55
13-4-2021;Null;709,1;710,85;706,1;708,6
12-4-2021;Null;711,94;713,48;706,7;707,35
9-4-2021;Null;713,46;714,11;711,6;713,36
8-4-2021;Null;713,46;713,97;710,7;713,38
7-4-2021;Null;711,9;712,85;709,63;710,08
6-4-2021;Null;716,81;717,69;711,91;713,28
1-4-2021;Null;707,05;710,95;704,53;708,43
31-3-2021;Null;700,81;704,25;699,69;699,85
30-3-2021;Null;700,82;702,44;696,96;701,12
29-3-2021;Null;697,94;700,85;696,92;697,94
26-3-2021;Null;690,69;697,94;689,68;696,62
25-3-2021;Null;684,32;686,48;677,33;685,33
24-3-2021;Null;682,59;687,96;681,62;686,13
23-3-2021;Null;681,19;684,29;679,48;681,74
22-3-2021;Null;678,38;684,23;677,86;684,21
19-3-2021;Null;675,89;683,43;675,89;681,7
18-3-2021;Null;684,05;684,46;680,16;682,39
17-3-2021;Null;682,22;684,4;679,11;680,71
16-3-2021;Null;682,74;684,45;679,65;683,65
15-3-2021;Null;678,43;681,54;676,14;678,8
12-3-2021;Null;679,8;679,89;675,47;677,41
11-3-2021;Null;682,53;684,76;681,05;683,71
10-3-2021;Null;675,3;681,38;673,26;678,03
9-3-2021;Null;665,29;676,47;665,08;675,1
8-3-2021;Null;657,96;667,53;655;665,65
5-3-2021;Null;650,85;662,74;649,97;653,87
4-3-2021;Null;656,88;661,36;652,17;657,67
3-3-2021;Null;667,6;668,67;658,86;663,35
2-3-2021;Null;662,36;668,24;660,27;663,26
1-3-2021;Null;662,02;665,69;658,62;664,58
26-2-2021;Null;651,21;658,23;647,9;651,26
25-2-2021;Null;670,23;671,49;664,48;664,48
24-2-2021;Null;662,43;666,59;659,56;664,54
23-2-2021;Null;669,62;669,62;653,94;664,06
22-2-2021;Null;672,16;673,13;666,09;671,75
19-2-2021;Null;674,45;679,79;671,74;678,48
18-2-2021;Null;681,44;683,51;670,41;672,81
17-2-2021;Null;686,55;688,83;681,04;681,04
16-2-2021;Null;686,94;689,24;685,76;687,43
15-2-2021;Null;680,43;686,98;679,08;685,18
12-2-2021;Null;665,16;677,24;665,16;676,83
11-2-2021;Null;659,88;664,34;658,19;664,34
